District ID,id,Pop20,DHouseholds,DTotal_Income,DArea,DSumAge,DTotal_Rent,DTotalCom,D20Minus,D20to40,D40to65,D65Plus,D0_25k,D25k_50k,D50k_100k,D100k_200k,D200kPlus,DGINI,DOc,DOcOth,DOc1Det,DOc1Att,DOc2_10,DOc10_50,DOc50_Plus,DWhite,DBlack,DNative,DAsian,DPacific,DOther,DMultiracial,DLatino,DVAP,DWhiteVAP,DBlackVAP,DNativeVAP,DAsianVAP,DPacificVAP,DOtherVAP,DMultiracialVAP,DLatinoVAP,DPop10,D10White,D10Black,D10Native,D10Asian,D10Pacific,D10Other,D10Multiracial,D10Latino,D10PCI,D00PCI,DPop00,D00White,D00Black,D00Native,D00Asian,D00Pacific,D00Other,D00Multiracial,D00Latino,DPop90,D90White,D90Black,D90Native,D90Asian,D90Other,D90Latino,D5_or_older,DEnglishOnly,DLimitedEnglish,DSpanish,DIndoEuropean,DAsianPacific,DOtherLanguage,D25_or_older,DHighschool,DBachelors,DGraduate,DNonInstit,DInsured,DUninsured,DMale,DFemale,DVeteran,DWorker_16_up,DCCar,DCTransit,DCWalk,DCBike,DCOther,DIAgri,DIConst,DIMfg,DIWholesale,DIRetail,DITrans,DIInfo,DIProf,DIEdu,DIArts,DIOther,DIPa,DIArmy,DinState,DoutState,DinCounty,DoutCounty,D16_up,DInLF,DUnemployed,DPopPov,DPoverty,DOHousing,DOwner,DRenter,DA_All,DA_Oth,DA_SouthAsia,DA_China,DA_SEasia,DA_Viet,DA_Filipino,DA_Japan,DA_Korea,DE_All,DE_Oth,DE_Germ,DE_USA,DE_Ire,DE_Brit,DE_Italy,DE_Scand,DE_Dutch,DE_Fr,DE_EastEuro,DE_Portug,DE_Czech,DE_Brazil,DE_Arab,DE_Polish,DE_Iran,DE_Balkan,DE_Hungary,DE_Greek,DF_All,DF_African,DF_Carib,DF_AA,DL_All,DL_Oth,DL_Mex,DL_PR,DL_Cuba,DL_Domin,DL_CA,DL_SA,DL_Spain,DUSBorn,DInStateB,DOutStateB,DForeignBorn,DForeignC,DForeignNC,DStSpouse,DGaySpouse,DStPartner,DGayPartner,DCapitaIncome,G22GovD,G22GovR,G22SosD,G22SosR,G22AgD,G22AgR,G22SenO,G22SenR,G22SenD,G22TreD,G22TreR,G22CorD,G22CorR,G20SenR,G20SenD,G20PreR,G20PreD,G20PreO,G20Ref207N,G20Ref207Y,G20Ref208N,G20Ref208Y,G18SosO,G18AgO,G18TreO,G18SpiO,G18MinO,G18MinD,G18MinR,G18SenR,G18SenD,G18GovR,G18GovD,G18SosR,G18SosD,G18AgR,G18AgD,G18TreR,G18TreD,G18SpiR,G18SpiD,G18SenO,G18GovO,G16PreR,G16PreD,G16SenR,G16SenD,G16PreO,G16SenO,G12SenR,G12SenD,G12PreD,G12PreR,G10TreD,G10TreR,G10TreO,G10SenD,G10SenR,G10SenO,G10AgD,G10AgO,G10AgR,G10SosD,G10SosR,G10SosO,G10SpiD,G10SpiR,G10SpiO,G10GovD,G10GovR,G10GovO,G08PreD,G08PreR,G08PreO,G24GuessD,G24GuessR,G28GuessD,G28GuessR,name,G22SpiD,G22SpiR,DCivilian,COUNTYFP,cntyName,cntyName2,GBuildD,GBuildR,districtId,countyFP
1,Phoenix Latinos,1,876075,263047,17618658436,589241,27864175,287663587,10666829,296865,273466,240342,65420,53132,71378,88205,43292,6875,340492,280433,13575,176497,9149,38913,23870,17495,255007,87370,26305,22606,2464,306594,175729,583687,608845,191871,59897,18505,17234,1719,204181,115438,382371,787057,395315,67086,18618,17222,1848,253653,32311,531104,13888662174,12436884258,673607,365180,48932,15176,9217,1106,202854,27099,395973,514341,352627,42840,10461,7761,97057,178889,806612,363299,159813,410226,7149,10941,14287,505954,359451,67062,21292,867062,689293,177567,444004,432071,26733,384690,356958,11018,5426,1890,8153,2610,47875,31273,8701,48330,27600,32873,48425,62757,39667,19584,13225,635,383146,1296,380446,3883,642059,419357,42607,857871,185583,263047,134492,128656,24685,2968,3057,2771,1557,4506,6397,1268,884,61932,3955,9593,14355,7239,8970,3525,1774,431,1216,836,134,181,99,1987,1081,1125,983,241,95,532371,11739,896,519452,584249,18244,531936,5653,2918,1203,18377,2497,2132,653859,425579,216955,222217,69567,152709,104581,1228,27354,1019,18357984344,95881,37808,97552,34052,93525,36563,2883,33354,97690,89241,41016,163591,67458,58097,166912,61060,162611,3321,70640,147668,73773,143051,32,53,22,70,39,98504,35834,32590,104182,44634,92649,35711,103147,37992,100360,40550,96592,34100,103194,5839,4859,41392,116100,57026,99664,12597,9739,35326,97109,99547,41343,55269,26896,6692,50126,35737,5253,61183,41,28582,56738,32145,4,58968,29862,12,59475,29873,2621,81881,48132,1662,154918,68753,147381,76290,Phoenix Latinos,809572,738705,3373188,013,Maricopa County,Maricopa,NaN,NaN,1,013
2,Phoenix Prosperity,2,197066,78934,15938091690,3192961,9018861,169411204,2367004,42510,28318,77388,48812,5475,7220,14727,25876,25602,87897,91931,606,77651,4418,2611,1885,4305,164356,2776,662,11507,154,3045,14566,13808,159231,136342,2161,466,8660,107,2377,9118,9489,170506,155256,1878,414,6920,77,1692,3158,8954,12537436538,9605303580,115157,108764,866,217,2010,32,798,1136,3682,42369,41361,104,69,364,151,850,189744,167462,4264,6375,9332,4379,1583,148021,144880,93624,41508,196743,189268,7395,97801,99265,11877,91098,88381,135,887,69,986,369,3786,6143,2713,9165,3225,15927,15963,19532,7135,3300,2454,24,88954,1896,88485,2377,164387,95836,5530,196590,8770,78934,67898,11063,15416,563,6957,2552,373,689,1817,435,1148,65995,5421,11902,8229,6546,10536,5680,3241,456,932,3286,155,857,70,1541,1983,654,1545,222,326,25345,517,154,24609,13510,1101,8327,1139,143,22,421,1139,418,175272,49652,122812,21794,15334,6388,53147,333,3228,101,15970023549,47916,66497,50009,62581,46292,65577,1084,64324,49196,37378,73527,78816,129196,79744,54138,78779,54608,844,61071,69852,80330,50039,4,14,6,8,14,34285,60856,60606,40758,69265,31712,61045,38936,63618,36207,65729,32775,58544,39298,806,748,61619,38188,70064,29648,5583,3855,60505,30678,29715,65520,19831,47113,2956,16415,52575,3425,26703,6,44321,19435,50670,2,21190,48546,2,23965,47159,1587,32098,59413,785,55524,77863,56396,76991,Phoenix Prosperity,809572,738705,3373188,013,Maricopa County,Maricopa,NaN,NaN,2,013
3,Phoenix Retirees,3,172932,94508,7683397522,186647,10891363,85208820,1153677,12378,13042,38834,108442,16154,21774,31856,19486,5132,70049,113958,4399,83623,12905,4102,2841,5505,150906,4026,726,5477,138,3015,8644,10361,161604,144390,3388,570,4247,112,2418,6479,7887,151385,142302,2694,487,2494,75,1589,1536,6515,6203453285,5441385693,118895,115552,939,160,680,31,563,578,2212,71556,70986,115,48,61,109,420,170359,156874,3313,5444,4391,2199,939,157989,150896,58523,23802,172081,167521,4477,78039,94891,27148,42091,40421,103,142,98,910,55,1763,3056,947,5464,2242,5042,5486,9804,3128,2004,1417,7,41054,842,40632,1195,163143,45208,7526,172005,12980,94508,78891,15577,6341,174,2520,976,52,220,896,459,454,69200,3612,14391,7329,7607,13249,5064,5689,786,1639,1756,34,599,0,554,3664,10,718,425,197,21376,331,4,21016,11528,1010,7546,797,339,32,181,588,306,159636,21099,136841,13296,8404,4795,48403,313,2991,210,7740509470,45898,58701,48774,54616,44702,58034,1944,55903,47360,36700,65610,77995,114576,66560,48340,67374,47032,520,60281,51723,65108,46707,4,15,8,8,14,32907,56650,54286,39005,66284,26861,56477,37160,58857,33933,59909,32040,54454,37270,1663,1692,57482,34345,57886,31305,4291,5360,52493,33332,31473,58676,26204,47565,3639,23116,51637,4421,33720,38,44232,25360,52046,7,27138,50081,12,26535,51743,1419,35502,57360,1677,48616,65790,50196,64210,Phoenix Retirees,809572,738705,3373188,013,Maricopa County,Maricopa,NaN,NaN,3,013
4,Phoenix Middle Class,4,1780158,705917,80978923871,2146266,67519550,1092007550,23322723,444512,514613,572052,249059,78374,108801,211164,214962,92367,707200,774855,14890,484500,47475,78219,70279,77578,1216952,84593,33395,117576,4177,115393,208072,334406,1388492,983716,63619,24360,92861,3032,84853,136051,230824,1500998,1189488,61315,27049,70801,2897,96927,49118,268075,61387627356,51028407340,1201527,994189,32562,18479,33286,1335,83158,30144,190130,786246,699769,15642,12141,14956,37326,86274,1680246,1375977,79940,168914,54745,58334,20370,1220310,1154230,573673,218995,1776641,1643488,132550,888408,891738,92543,938410,888624,11175,14562,6704,13577,3073,50587,76318,22779,97545,44892,134777,138909,207710,85630,38979,33581,731,928255,9021,916394,21271,1427801,993682,59864,1761694,150852,705917,448425,257321,151958,4792,48411,30533,6023,11633,25434,11046,9052,432877,43665,69214,61034,45779,76102,33732,24653,4656,7748,13385,887,3300,489,7531,13712,2900,8408,1624,2584,445592,9618,2012,433079,341775,18292,277046,11420,3277,1094,10009,9332,6633,1568270,643168,899190,211875,107619,104058,333579,3608,49821,3001,82134028114,391431,356501,399969,333012,379368,351709,13397,338295,400493,326560,397726,665451,683123,464450,499692,464724,492927,15499,361798,582871,447637,489879,89,206,65,241,234,311092,330656,321376,354434,378374,295294,328432,343481,346747,323090,360837,299948,313164,346337,13305,12396,348086,329975,403778,279181,57874,37423,326065,276070,277167,356844,170824,240129,29094,144647,282645,30257,214164,220,233510,171578,269155,103,187980,253837,129,195172,250540,16420,285215,349565,10433,501074,456577,509224,448427,Phoenix Middle Class,809572,738705,3373188,013,Maricopa County,Maricopa,NaN,NaN,4,013
4,Phoenix Middle Class,4,6448,3188,410099814,23839,390842,3901906,61666,420,442,2070,3519,272,571,839,1091,418,2999,4303,151,3781,243,108,0,4,5927,40,26,59,2,81,313,318,6192,5746,40,16,56,2,66,266,262,6460,6156,71,10,59,5,67,88,279,337693119,191886024,3593,3513,8,6,5,2,8,15,54,605,586,0,0,0,0,13,6399,6255,45,65,30,5,0,5985,5622,2728,916,6448,6202,246,2923,3525,1023,1929,1829,29,5,0,31,0,175,258,0,190,36,229,246,476,128,17,143,0,1843,76,946,987,6186,2050,279,6439,279,3188,3126,60,9,0,0,0,0,0,5,0,0,2584,180,532,221,364,472,173,306,67,45,80,0,0,0,0,71,0,0,18,0,454,0,0,454,407,0,391,0,0,0,0,0,4,6177,822,5312,271,176,82,2105,4,177,5,410331376,1594,2510,1667,2416,1571,2494,71,2430,1640,1278,2783,2642,4839,2674,1613,2671,1588,34,2149,2007,2630,1569,0,6,0,0,0,1141,2306,2234,1344,2595,962,2284,1291,2366,1171,2395,1106,2224,1317,44,43,2317,1227,2282,1130,160,223,2310,1286,1229,2497,965,2044,153,868,2162,178,1229,0,1915,972,2169,0,1048,2091,0,1010,2161,74,1447,2491,48,1609,2650,1630,2629,Phoenix Middle Class,62008,83147,329322,021,Pinal County,Pinal,NaN,NaN,4,021
5,Phoenix Working Class,5,1279846,480958,38789805899,1532827,48025207,596525093,16993168,333753,369715,391905,184490,73363,107432,165813,113140,20730,480852,526810,51225,321166,24969,49997,44063,33807,785931,77704,28244,45097,3867,158961,180042,379129,976550,633294,56202,20095,36170,2765,111223,116801,252159,1116036,839825,53362,21073,32281,2521,123910,41430,289943,32530748304,28891750164,904875,750967,26350,12013,17504,1149,66222,24403,153980,661848,600481,11059,5078,9349,30804,64935,1198336,919387,83964,210005,27222,25367,14891,859603,767414,217872,72206,1269261,1131103,137627,629447,650390,83415,622511,592522,7905,7505,1928,9979,2023,47194,42412,13913,84160,39875,69963,73413,130085,57835,28665,26454,4078,617739,4188,612003,9793,1011189,668966,55166,1266104,150464,480958,298913,182078,64530,3021,9990,9976,3752,8818,17659,4091,3747,275998,21903,50932,45775,33539,42822,17532,13489,3176,6379,4355,947,1319,663,5930,7962,975,7875,1194,775,391862,7059,2164,382149,391106,22084,324271,11531,4858,1123,12593,6954,4383,1124911,512708,592170,154944,73799,80883,214889,1987,40526,1466,39627151927,194204,205100,201262,191468,188395,201451,10904,191876,199307,165625,222665,330073,381425,282938,276105,290680,265147,10993,211640,336391,262000,281464,72,206,67,187,110,163819,190848,183676,182402,218825,147350,190451,178672,198986,167894,206511,157141,182094,179950,12386,11214,217259,173470,232746,152825,35290,30702,185818,156163,155226,210209,96023,137414,20813,79841,163379,19753,118566,175,138653,95750,158687,77,105564,148407,77,103896,150886,11036,158792,215849,7640,271413,284414,277829,277998,Phoenix Working Class,809572,738705,3373188,013,Maricopa County,Maricopa,NaN,NaN,5,013
5,Phoenix Working Class,5,157865,57768,4841073048,459318,6252678,69033952,2311317,42360,37759,47395,30361,7859,11558,20504,15430,2286,58536,68269,14725,50145,480,1556,800,301,116304,5737,1996,2583,435,12479,18331,34152,116972,89678,4061,1368,2037,295,8431,11102,21045,132817,109839,4556,1381,2064,249,9698,4507,26058,3701904336,1376226406,45964,42012,197,322,178,26,1757,709,4444,24987,24088,52,109,49,348,1485,148671,127607,5934,16585,1242,1939,988,107566,98017,23782,7053,157710,144114,13580,76839,81026,12682,65533,63587,69,318,180,1007,479,5872,4938,1318,8930,3887,6913,7800,14128,4975,2637,2840,38,64567,854,24743,40812,123463,71296,7381,157385,14389,57768,46436,11331,4553,150,303,479,564,185,1571,574,425,37502,2193,8593,5775,4242,7009,2419,2963,313,517,256,117,133,1,125,977,4,160,134,123,31555,54,263,31223,34682,1576,29321,1263,121,123,796,391,677,145943,57182,86576,11922,6647,5159,32737,106,3996,157,4916182604,20244,34399,21090,32749,19855,33799,1601,32582,20900,17106,36420,33304,60799,44367,27351,45758,25587,1367,29309,40878,40012,30003,10,24,4,2,8,14938,26213,25016,16516,28977,12576,26007,16101,26750,15073,27064,14298,25364,16457,1341,1152,29498,14973,28961,14277,3824,3992,21174,14297,13956,23756,8535,14141,2168,7127,16196,1922,9948,0,14846,8431,16213,0,9200,15524,0,8571,16007,1216,14286,21687,309,25445,45900,25309,46036,Phoenix Working Class,62008,83147,329322,021,Pinal County,Pinal,NaN,NaN,5,021
6,Native Tribes,6,48978,14127,573444644,20781704,1762619,3247262,378417,15161,13058,14385,6337,6496,3357,2627,910,38,25552,19830,3979,14152,32,1270,0,9,1208,112,46391,247,14,153,853,805,35802,1134,98,33724,214,14,131,487,481,54171,1553,61,51405,128,16,101,851,1043,648349910,672068002,53736,1510,31,51123,33,7,106,389,496,47068,1462,41,44973,30,71,322,46073,14873,9400,139,67,169,30190,30573,24432,3050,920,48910,32780,16082,23801,25177,979,12712,11624,68,494,2,49,60,752,94,5,576,460,290,232,6006,815,64,1159,0,10759,1712,9810,2698,37047,14276,3584,48335,19055,14127,11147,2771,226,0,11,21,0,23,133,1,0,290,6,35,60,22,87,1,3,0,2,0,0,0,0,0,2,0,0,0,0,46698,24,45,46577,727,48,481,27,0,0,0,0,2,48648,39001,9442,330,43,257,4210,0,471,2,713002844,16177,2515,15747,2672,16275,2244,201,2020,16399,15238,3297,24219,4013,3638,22215,3718,21672,210,12939,11341,8255,16069,4,2,0,4,0,15259,2493,2378,14782,3228,13933,2311,15514,2737,14990,2917,14836,2275,15464,815,812,1978,15877,2615,16985,2018,521,2307,14928,15776,2328,11928,1583,739,10703,3308,483,11644,0,2588,13315,1196,0,12543,1758,0,11616,2363,434,13808,3162,65,20218,5172,18811,6579,Native Tribes,18005,9016,48581,001,Apache County,Apache,NaN,NaN,6,001
6,Native Tribes,6,23134,6771,389142355,21344769,830236,2323091,219113,6809,6371,6934,3008,2113,1572,1778,929,97,10636,8719,2280,5927,29,363,30,1,430,50,21935,129,11,77,502,362,16626,369,47,15760,105,7,68,270,214,25150,633,43,23903,68,3,70,400,627,396709735,351703294,24492,705,9,23305,14,1,48,177,311,20741,764,12,19717,28,22,118,21473,8467,3074,63,3,19,12794,14200,10787,1590,748,23134,18828,4306,11048,12086,435,7374,6744,92,408,4,8,22,854,158,17,636,265,41,201,2629,1079,124,464,0,6871,423,6251,1124,17606,8851,2815,23112,6488,6771,5098,1553,30,1,0,1,0,0,7,0,17,194,6,44,30,31,37,1,6,2,4,0,0,0,0,0,0,0,0,0,0,20271,93,0,20173,677,20,526,1,1,0,0,0,72,22976,20750,2163,158,122,26,2441,0,355,1,401057972,6584,1482,6587,1373,6783,1185,135,1068,6850,6345,1636,10679,2058,2101,9754,2140,9542,198,5730,5397,4310,6888,0,0,0,0,0,6610,1329,1163,6534,2221,5502,1322,6659,1558,6397,1487,6469,1362,6599,294,290,1286,6498,1423,7181,920,229,1253,6348,6555,1379,4571,857,274,3957,1623,168,4459,0,1267,5273,547,0,4739,1020,0,4438,1214,120,6121,1656,57,8978,2704,8471,3211,Native Tribes,35149,20150,115161,005,Coconino County,Coconino,NaN,NaN,6,005
6,Native Tribes,6,7356,1677,88164447,4746775,222035,478520,42395,2857,2117,1843,529,633,490,201,307,13,3689,1895,331,1472,0,69,4,0,91,3,7096,37,8,35,86,154,4809,67,0,4637,33,8,25,39,78,6948,125,4,6738,1,0,16,50,229,85919799,54551395,6184,228,7,5762,8,0,6,101,122,4768,90,8,4600,0,11,35,6644,4041,371,7,17,0,2550,3960,2887,219,73,7356,6629,723,3563,3793,203,1940,1850,8,40,0,10,152,130,20,92,68,71,79,80,640,229,36,249,0,1934,2,1033,896,4882,2366,825,7346,3451,1677,935,735,55,0,17,0,0,0,17,0,0,14,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4778,0,0,4775,308,7,277,14,0,0,0,0,0,7339,6743,580,17,0,17,640,0,248,7,87813004,848,153,851,142,857,136,12,127,866,829,170,1384,243,329,1546,301,1542,12,705,968,646,1062,0,0,0,0,0,944,141,140,901,257,813,159,940,202,894,183,920,144,947,46,29,142,1290,265,1096,78,107,141,1350,1364,169,791,121,30,585,328,32,778,0,179,870,87,0,834,117,0,786,172,4,1189,446,0,1382,461,1229,614,Native Tribes,7984,14554,42873,007,Gila County,Gila,NaN,NaN,6,007
