District ID,id,Pop20,DHouseholds,DTotal_Income,DArea,DSumAge,DTotal_Rent,DTotalCom,D20Minus,D20to40,D40to65,D65Plus,D0_25k,D25k_50k,D50k_100k,D100k_200k,D200kPlus,DGINI,DOc,DOcOth,DOc1Det,DOc1Att,DOc2_10,DOc10_50,DOc50_Plus,DWhite,DBlack,DNative,DAsian,DPacific,DOther,DMultiracial,DLatino,DVAP,DWhiteVAP,DBlackVAP,DNativeVAP,DAsianVAP,DPacificVAP,DOtherVAP,DMultiracialVAP,DLatinoVAP,DPop10,D10White,D10Black,D10Native,D10Asian,D10Pacific,D10Other,D10Multiracial,D10Latino,D10PCI,D00PCI,DPop00,D00White,D00Black,D00Native,D00Asian,D00Pacific,D00Other,D00Multiracial,D00Latino,DPop90,D90White,D90Black,D90Native,D90Asian,D90Other,D90Latino,D5_or_older,DEnglishOnly,DLimitedEnglish,DSpanish,DIndoEuropean,DAsianPacific,DOtherLanguage,D25_or_older,DHighschool,DBachelors,DGraduate,DNonInstit,DInsured,DUninsured,DMale,DFemale,DVeteran,DWorker_16_up,DCCar,DCTransit,DCWalk,DCBike,DCOther,DIAgri,DIConst,DIMfg,DIWholesale,DIRetail,DITrans,DIInfo,DIProf,DIEdu,DIArts,DIOther,DIPa,DIArmy,DinState,DoutState,DinCounty,DoutCounty,D16_up,DInLF,DUnemployed,DPopPov,DPoverty,DOHousing,DOwner,DRenter,DA_All,DA_Oth,DA_SouthAsia,DA_China,DA_SEasia,DA_Viet,DA_Filipino,DA_Japan,DA_Korea,DE_All,DE_Oth,DE_Germ,DE_USA,DE_Ire,DE_Brit,DE_Italy,DE_Scand,DE_Dutch,DE_Fr,DE_EastEuro,DE_Portug,DE_Czech,DE_Brazil,DE_Arab,DE_Polish,DE_Iran,DE_Balkan,DE_Hungary,DE_Greek,DF_All,DF_African,DF_Carib,DF_AA,DL_All,DL_Oth,DL_Mex,DL_PR,DL_Cuba,DL_Domin,DL_CA,DL_SA,DL_Spain,DUSBorn,DInStateB,DOutStateB,DForeignBorn,DForeignC,DForeignNC,DStSpouse,DGaySpouse,DStPartner,DGayPartner,DCapitaIncome,G22GovD,G22GovR,G22SosD,G22SosR,G22AgD,G22AgR,G22SenO,G22SenR,G22SenD,G22TreD,G22TreR,G22CorD,G22CorR,G20SenR,G20SenD,G20PreR,G20PreD,G20PreO,G20Ref207N,G20Ref207Y,G20Ref208N,G20Ref208Y,G18SosO,G18AgO,G18TreO,G18SpiO,G18MinO,G18MinD,G18MinR,G18SenR,G18SenD,G18GovR,G18GovD,G18SosR,G18SosD,G18AgR,G18AgD,G18TreR,G18TreD,G18SpiR,G18SpiD,G18SenO,G18GovO,G16PreR,G16PreD,G16SenR,G16SenD,G16PreO,G16SenO,G12SenR,G12SenD,G12PreD,G12PreR,G10TreD,G10TreR,G10TreO,G10SenD,G10SenR,G10SenO,G10AgD,G10AgO,G10AgR,G10SosD,G10SosR,G10SosO,G10SpiD,G10SpiR,G10SpiO,G10GovD,G10GovR,G10GovO,G08PreD,G08PreR,G08PreO,G24GuessD,G24GuessR,G28GuessD,G28GuessR,name
1,Phoenix Latinos,1,876075,263047,17618658436,589241,27864175,287663587,10666829,296865,273466,240342,65420,53132,71378,88205,43292,6875,340492,280433,13575,176497,9149,38913,23870,17495,255007,87370,26305,22606,2464,306594,175729,583687,608845,191871,59897,18505,17234,1719,204181,115438,382371,787057,395315,67086,18618,17222,1848,253653,32311,531104,13888662174,12436884258,673607,365180,48932,15176,9217,1106,202854,27099,395973,514341,352627,42840,10461,7761,97057,178889,806612,363299,159813,410226,7149,10941,14287,505954,359451,67062,21292,867062,689293,177567,444004,432071,26733,384690,356958,11018,5426,1890,8153,2610,47875,31273,8701,48330,27600,32873,48425,62757,39667,19584,13225,635,383146,1296,380446,3883,642059,419357,42607,857871,185583,263047,134492,128656,24685,2968,3057,2771,1557,4506,6397,1268,884,61932,3955,9593,14355,7239,8970,3525,1774,431,1216,836,134,181,99,1987,1081,1125,983,241,95,532371,11739,896,519452,584249,18244,531936,5653,2918,1203,18377,2497,2132,653859,425579,216955,222217,69567,152709,104581,1228,27354,1019,18357984344,95881,37808,97552,34052,93525,36563,2883,33354,97690,89241,41016,163591,67458,58097,166912,61060,162611,3321,70640,147668,73773,143051,32,53,22,70,39,98504,35834,32590,104182,44634,92649,35711,103147,37992,100360,40550,96592,34100,103194,5839,4859,41392,116100,57026,99664,12597,9739,35326,97109,99547,41343,55269,26896,6692,50126,35737,5253,61183,41,28582,56738,32145,4,58968,29862,12,59475,29873,2621,81881,48132,1662,154918,68753,147381,76290,Phoenix Latinos
2,Phoenix Prosperity,2,197066,78934,15938091690,3192961,9018861,169411204,2367004,42510,28318,77388,48812,5475,7220,14727,25876,25602,87897,91931,606,77651,4418,2611,1885,4305,164356,2776,662,11507,154,3045,14566,13808,159231,136342,2161,466,8660,107,2377,9118,9489,170506,155256,1878,414,6920,77,1692,3158,8954,12537436538,9605303580,115157,108764,866,217,2010,32,798,1136,3682,42369,41361,104,69,364,151,850,189744,167462,4264,6375,9332,4379,1583,148021,144880,93624,41508,196743,189268,7395,97801,99265,11877,91098,88381,135,887,69,986,369,3786,6143,2713,9165,3225,15927,15963,19532,7135,3300,2454,24,88954,1896,88485,2377,164387,95836,5530,196590,8770,78934,67898,11063,15416,563,6957,2552,373,689,1817,435,1148,65995,5421,11902,8229,6546,10536,5680,3241,456,932,3286,155,857,70,1541,1983,654,1545,222,326,25345,517,154,24609,13510,1101,8327,1139,143,22,421,1139,418,175272,49652,122812,21794,15334,6388,53147,333,3228,101,15970023549,47916,66497,50009,62581,46292,65577,1084,64324,49196,37378,73527,78816,129196,79744,54138,78779,54608,844,61071,69852,80330,50039,4,14,6,8,14,34285,60856,60606,40758,69265,31712,61045,38936,63618,36207,65729,32775,58544,39298,806,748,61619,38188,70064,29648,5583,3855,60505,30678,29715,65520,19831,47113,2956,16415,52575,3425,26703,6,44321,19435,50670,2,21190,48546,2,23965,47159,1587,32098,59413,785,55524,77863,56396,76991,Phoenix Prosperity
3,Phoenix Retirees,3,172932,94508,7683397522,186647,10891363,85208820,1153677,12378,13042,38834,108442,16154,21774,31856,19486,5132,70049,113958,4399,83623,12905,4102,2841,5505,150906,4026,726,5477,138,3015,8644,10361,161604,144390,3388,570,4247,112,2418,6479,7887,151385,142302,2694,487,2494,75,1589,1536,6515,6203453285,5441385693,118895,115552,939,160,680,31,563,578,2212,71556,70986,115,48,61,109,420,170359,156874,3313,5444,4391,2199,939,157989,150896,58523,23802,172081,167521,4477,78039,94891,27148,42091,40421,103,142,98,910,55,1763,3056,947,5464,2242,5042,5486,9804,3128,2004,1417,7,41054,842,40632,1195,163143,45208,7526,172005,12980,94508,78891,15577,6341,174,2520,976,52,220,896,459,454,69200,3612,14391,7329,7607,13249,5064,5689,786,1639,1756,34,599,0,554,3664,10,718,425,197,21376,331,4,21016,11528,1010,7546,797,339,32,181,588,306,159636,21099,136841,13296,8404,4795,48403,313,2991,210,7740509470,45898,58701,48774,54616,44702,58034,1944,55903,47360,36700,65610,77995,114576,66560,48340,67374,47032,520,60281,51723,65108,46707,4,15,8,8,14,32907,56650,54286,39005,66284,26861,56477,37160,58857,33933,59909,32040,54454,37270,1663,1692,57482,34345,57886,31305,4291,5360,52493,33332,31473,58676,26204,47565,3639,23116,51637,4421,33720,38,44232,25360,52046,7,27138,50081,12,26535,51743,1419,35502,57360,1677,48616,65790,50196,64210,Phoenix Retirees
4,Phoenix Middle Class,4,1786606,709105,81389023685,2170105,67910392,1095909456,23384389,444932,515055,574122,252578,78646,109372,212003,216053,92785,710199,779158,15041,488281,47718,78327,70279,77582,1222879,84633,33421,117635,4179,115474,208385,334724,1394684,989462,63659,24376,92917,3034,84919,136317,231086,1507458,1195644,61386,27059,70860,2902,96994,49206,268354,61725320475,51220293364,1205120,997702,32570,18485,33291,1337,83166,30159,190184,786851,700355,15642,12141,14956,37326,86287,1686645,1382232,79985,168979,54775,58339,20370,1226295,1159852,576401,219911,1783089,1649690,132796,891331,895263,93566,940339,890453,11204,14567,6704,13608,3073,50762,76576,22779,97735,44928,135006,139155,208186,85758,38996,33724,731,930098,9097,917340,22258,1433987,995732,60143,1768133,151131,709105,451551,257381,151967,4792,48411,30533,6023,11633,25439,11046,9052,435461,43845,69746,61255,46143,76574,33905,24959,4723,7793,13465,887,3300,489,7531,13783,2900,8408,1642,2584,446046,9618,2012,433533,342182,18292,277437,11420,3277,1094,10009,9332,6637,1574447,643990,904502,212146,107795,104140,335684,3612,49998,3006,82544359490,393025,359011,401636,335428,380939,354203,13468,340725,402133,327838,400509,668093,687962,467124,501305,467395,494515,15533,363947,584878,450267,491448,89,212,65,241,234,312233,332962,323610,355778,380969,296256,330716,344772,349113,324261,363232,301054,315388,347654,13349,12439,350403,331202,406060,280311,58034,37646,328375,277356,278396,359341,171789,242173,29247,145515,284807,30435,215393,220,235425,172550,271324,103,189028,255928,129,196182,252701,16494,286662,352056,10481,502683,459227,510854,451056,Phoenix Middle Class
5,Phoenix Working Class,5,1437711,538726,43630878947,1992145,54277885,665559045,19304485,376113,407474,439300,214851,81222,118990,186317,128570,23016,539388,595079,65950,371311,25449,51553,44863,34108,902235,83441,30240,47680,4302,171440,198373,413281,1093522,722972,60263,21463,38207,3060,119654,127903,273204,1248853,949664,57918,22454,34345,2770,133608,45937,316001,36232652640,30267976570,950839,792979,26547,12335,17682,1175,67979,25112,158424,686835,624569,11111,5187,9398,31152,66420,1347007,1046994,89898,226590,28464,27306,15879,967169,865431,241654,79259,1426971,1275217,151207,706286,731416,96097,688044,656109,7974,7823,2108,10986,2502,53066,47350,15231,93090,43762,76876,81213,144213,62810,31302,29294,4116,682306,5042,636746,50605,1134652,740262,62547,1423489,164853,538726,345349,193409,69083,3171,10293,10455,4316,9003,19230,4665,4172,313500,24096,59525,51550,37781,49831,19951,16452,3489,6896,4611,1064,1452,664,6055,8939,979,8035,1328,898,423417,7113,2427,413372,425788,23660,353592,12794,4979,1246,13389,7345,5060,1270854,569890,678746,166866,80446,86042,247626,2093,44522,1623,44543334531,214448,239499,222352,224217,208250,235250,12505,224458,220207,182731,259085,363377,442224,327305,303456,336438,290734,12360,240949,377269,302012,311467,82,230,71,189,118,178757,217061,208692,198918,247802,159926,216458,194773,225736,182967,233575,171439,207458,196407,13727,12366,246757,188443,261707,167102,39114,34694,206992,170460,169182,233965,104558,151555,22981,86968,179575,21675,128514,175,153499,104181,174900,77,114764,163931,77,112467,166893,12252,173078,237536,7949,296858,330314,303138,324034,Phoenix Working Class
6,Native Tribes,6,186612,56174,2799127134,87889069,6633776,20945299,1360205,58508,50064,53441,24497,21004,13582,13108,6347,366,89704,75150,15031,54031,662,3762,253,35,16514,751,157944,734,88,3687,6894,13491,132033,13773,642,110099,610,66,2774,4069,8402,194401,21875,794,161852,632,73,4564,4379,15341,2868603463,2647094687,190110,22502,609,156940,260,39,4531,2888,11485,163282,21005,524,136877,234,2235,8669,173971,84889,20815,6726,236,591,80046,114616,89007,11489,4000,184645,144910,39481,91426,95187,5711,53814,49576,494,1943,21,349,937,3608,901,271,4225,2364,1115,1479,18935,6690,706,6079,14,50953,2377,44435,8902,139689,62629,17764,183256,63802,56174,38851,16830,855,1,105,59,41,85,238,98,91,5662,198,919,490,510,1008,107,218,306,57,116,1,23,0,9,28,0,7,7,0,148282,124,45,148039,16943,742,14934,155,72,0,26,3,212,183329,152584,29836,3283,1295,1741,18747,27,3394,24,3018931744,42233,9897,42015,9486,42630,8818,669,8031,43256,40042,11476,66339,15946,18659,63861,18835,62722,818,38087,39999,31270,46804,6,4,4,4,2,42780,12736,12085,42058,17126,37157,12453,43452,13946,41698,14273,41363,12117,43609,2309,2083,12704,45463,15092,46530,5876,2503,10903,42596,44540,11755,31135,8054,2097,26999,13575,1412,31408,0,10193,34707,7408,0,32799,8514,0,30742,10428,945,39311,15150,248,59366,22191,56265,25292,Native Tribes
7,Flagstaff and Sedona,7,186808,78364,6990625257,15709570,8038624,95018533,1533682,40099,46566,54181,45859,13355,15983,25818,16878,5957,81301,100568,8214,66125,5708,11298,5449,3306,143173,2243,11477,3609,302,8822,17182,26390,159109,125960,1988,8343,3191,247,6908,12472,19587,164775,137472,1781,10288,2205,199,7850,4428,21548,5711375905,4746094661,136317,117380,1044,7061,927,68,5053,2531,14320,106395,93395,1151,5522,695,4090,10111,180214,158529,4896,11911,2892,1816,4259,129618,123235,57915,24484,185852,168893,16848,92629,94177,15852,81805,73517,726,4912,1044,1087,617,5328,5666,649,10582,3070,5089,8832,21641,10406,3710,4228,23,81017,602,76347,5268,160991,88932,9539,174631,21267,78364,50927,27253,6459,292,752,1497,296,221,1494,750,613,55067,5358,10467,7244,6910,10731,2944,2733,619,1112,1433,151,492,24,122,1595,128,196,184,188,35314,80,71,35093,25608,2470,18760,831,390,35,693,749,1031,175651,64879,108602,11156,5695,5195,36474,351,6108,170,7059328237,46430,46048,47031,44112,45172,45122,1787,43955,47150,40149,49726,82584,86975,54103,56641,53800,55597,2065,41634,64558,48014,57560,5,26,2,16,25,41336,41435,40715,44635,45984,39425,41078,43345,42380,41858,43707,39608,39124,44291,2308,1909,42966,41552,45863,38988,7860,5527,38668,36973,36941,42371,24827,31151,4174,22225,35787,3932,29447,0,31123,25767,35183,0,27357,32492,0,27018,34163,1972,40048,40907,1062,55350,54047,55224,54173,Flagstaff and Sedona
8,Rural Arizona,8,772026,316894,22085806422,143606920,34795971,276640710,7017747,159579,159659,240676,211283,67440,79399,104282,53585,9248,313227,407689,110973,257895,5823,19608,6419,3274,584242,11852,21292,8503,1286,61765,83086,164864,625922,489423,9149,15486,7213,983,45894,57774,114336,720462,603740,10415,18436,6583,1820,56755,20160,148608,18708120661,14718603638,548587,470882,5064,11693,2520,400,39297,10778,93462,352150,315403,3183,7772,1216,19727,51080,737057,625771,31442,91517,5690,4406,5143,575743,504949,106880,39036,750092,678299,71174,394795,377226,79990,282647,269995,803,4654,720,3577,9723,23615,14678,4190,36240,14881,16344,22908,60025,35167,12383,15751,806,267992,13519,249022,32067,643920,307623,39641,747327,107301,316894,236819,79315,11082,394,629,1029,862,1007,3423,899,1017,200984,12246,38415,30353,24320,39284,9541,12709,3050,4444,2091,422,755,56,459,4396,117,885,947,666,171456,984,225,169889,173511,10910,145694,2787,1079,78,3984,1959,3054,719573,260768,450998,52448,24344,26419,156312,931,21004,419,22539305439,95115,220294,99444,212602,92791,217656,7584,210433,98567,79242,230733,161132,396836,261349,118000,269765,109251,4158,164551,201701,225844,138495,19,48,6,11,10,77657,181674,176586,84000,199851,63094,180902,82823,184625,77341,187156,73978,176094,85055,7941,5078,200329,74876,181160,77092,17914,26534,156836,82236,77768,177622,59276,123687,16412,49968,137048,16833,70847,4,129338,59977,140048,2,66956,130880,3,57497,142302,6918,83593,168282,3000,107468,271548,105119,273897,Rural Arizona
9,Border Latinos,9,276827,91215,6071963149,26273673,10241697,75785302,2144616,77933,79468,76146,43338,22644,23075,28354,13863,2452,119220,108030,24475,66366,3332,8895,2378,1584,109043,5945,5512,2873,329,75300,77825,197265,205968,85434,5028,4214,2292,238,54015,54747,138215,275066,186951,5554,5841,2527,352,64007,9355,186599,5521102856,4814403699,222960,148312,3593,3361,1453,175,55724,6597,137450,169955,126828,3125,1832,1310,34083,89664,258067,102454,57126,150685,1297,1317,1361,177967,131950,27507,9582,256622,223056,33385,147852,128973,15294,101550,97164,960,1198,316,1006,8211,5648,4732,3439,11283,6338,4453,7464,21492,9284,3867,9081,2664,97552,3694,92003,9328,215298,114140,19345,257235,51345,91215,61386,29774,4241,107,385,458,141,351,1608,444,280,25711,2387,5323,4529,2550,4271,685,1000,256,514,190,56,63,13,83,172,14,127,74,109,178814,337,202,178189,195261,3631,186937,1334,333,182,941,412,414,205846,126558,75545,70978,35521,35153,44955,208,6202,86,6297727925,30600,27171,31256,25859,30079,26752,1432,24536,31920,28603,28274,51573,48730,38708,52032,40787,49464,1228,39782,48472,38358,49650,6,6,4,3,1,32764,24992,24785,32830,27610,30512,24385,34054,24510,33734,25977,32176,23886,34348,1942,1109,27657,40745,32708,33256,4350,3613,23638,33083,32696,26932,24054,19573,2411,21410,23648,2101,25306,0,21104,24345,22074,0,25589,20208,0,24773,21977,973,31456,29834,307,43878,46373,38491,51760,Border Latinos
10,Tuscon Latinos,10,328664,122089,7058362628,765132,11753732,107639271,3509903,91038,102477,91371,43819,34176,34153,35808,15737,2020,136246,135691,25125,68964,7405,13783,14246,5609,132539,13516,14612,6525,597,81317,79558,209539,250528,108074,9744,10454,5509,431,59450,56866,149688,330543,201109,12955,13434,5605,457,82968,13305,209761,6438720899,6071590336,289176,171332,9895,9398,3705,363,80942,11315,162879,244139,154689,9707,5466,3309,69251,112733,308417,159099,47441,138178,2930,4297,3376,202721,160202,36523,12546,324413,276466,47816,162330,166326,16742,144989,134055,4052,2534,1470,2134,1280,13012,8354,2431,17253,7567,8726,17551,33633,18717,7478,7346,816,143998,846,141780,2985,257551,159960,19012,324026,75137,122089,69465,52637,10687,227,1447,2186,692,1543,2037,973,766,27116,1743,4421,4985,3843,3692,1577,1095,346,634,471,64,102,62,537,642,24,341,77,63,181608,1566,189,179740,217376,7503,201333,2020,831,111,2446,989,1104,266491,177917,82985,62169,27932,34209,41720,360,12045,429,7217403292,56438,21332,56935,20221,55601,21274,1500,18854,57791,52855,23928,97259,38433,31432,87241,32923,85146,1633,35016,77009,35060,75988,21,45,24,26,27,58659,21996,21265,58943,26788,53206,20841,60478,21182,59713,23963,56581,20459,60261,2992,2822,23861,65052,30579,57093,6353,5299,20305,57835,57615,24154,41562,17765,4311,37421,23530,3836,44137,0,20221,42940,20372,0,43500,20167,0,42921,20691,1940,55444,28897,866,81310,36759,77537,40532,Tuscon Latinos
